config_id,fold,case_id,n_estimators,max_depth,min_samples_leaf,max_features,pancreas_dice,kidney_dice,liver_dice,mean_foreground_dice
config_007,1,UKCHLL045,100,10,50,sqrt,0.5787318339964376,0.8985026612327517,0.9707488430077414,0.8159944460789769
config_007,2,UKCHLL011,100,10,50,sqrt,0.07586520426890593,0.9368052568093057,0.9667206345995717,0.6597970318925944
config_007,2,UKCHLL017,100,10,50,sqrt,0.0859571308285432,0.9261186065809177,0.9750967307702367,0.6623908227265659
config_007,2,UKCHLL031,100,10,50,sqrt,0.31998849688559294,0.9330023162439193,0.9708409818090491,0.7412772649795204
config_007,2,UKCHLL037,100,10,50,sqrt,0.13942791908501195,0.9137527876980049,0.9664772994598888,0.6732193354143018
config_007,3,UKCHLL009,100,10,50,sqrt,0.5106925621971372,0.9154291080187407,0.9688232868317416,0.7983149856825399
config_007,3,UKCHLL039,100,10,50,sqrt,0.35578380933335757,0.9393157250232244,0.9658314863745229,0.7536436735770349
config_007,3,UKCHLL043,100,10,50,sqrt,0.5658869369007944,0.9104198844856678,0.9679938730211143,0.8147668981358588
config_007,3,UKCHLL046,100,10,50,sqrt,0.2827580119803525,0.9391244689553263,0.9525946256452662,0.7248257021936483
config_007,4,UKCHLL015,100,10,50,sqrt,0.5742449542766933,0.9226491833586724,0.9690869082826513,0.8219936819726724
config_007,4,UKCHLL034,100,10,50,sqrt,0.7225464334145173,0.9364083387524336,0.9667473828938106,0.8752340516869205
config_007,4,UKCHLL038,100,10,50,sqrt,0.6709110672375164,0.8959325314530624,0.9716428078979528,0.8461621355295105
config_007,4,UKCHLL048,100,10,50,sqrt,0.42394042164970946,0.921940479768546,0.9537707778451118,0.7665505597544557
config_007,5,UKCHLL021,100,10,50,sqrt,0.416864966316989,0.9340172969042985,0.9666653973168307,0.7725158868460392
config_007,5,UKCHLL023,100,10,50,sqrt,0.33606032114818524,0.921376748159489,0.31271124439272996,0.5233827712334681
config_007,5,UKCHLL035,100,10,50,sqrt,0.28756541580217065,0.928453442918713,0.9672400434995722,0.7277529674068187
config_007,5,UKCHLL041,100,10,50,sqrt,0.4586222589894832,0.943950832508458,0.95707111806232,0.7865480698534205
config_008,1,UKCHLL001,100,10,50,all,0.06861580331863623,0.9355018912625018,0.9777267019099567,0.6606147988303649
config_008,1,UKCHLL002,100,10,50,all,0.05074303697157138,0.9250555704808237,0.9687632981452147,0.6481873018658698
config_008,1,UKCHLL042,100,10,50,all,0.09997411661959531,0.907959488752962,0.9276032297906163,0.6451789450543911
config_008,1,UKCHLL045,100,10,50,all,0.06178697251186576,0.9015802681563992,0.9724970850294838,0.6452881085659162
config_008,2,UKCHLL011,100,10,50,all,0.022878552549786314,0.938180810632958,0.9671937630806314,0.6427510420877919
config_008,2,UKCHLL017,100,10,50,all,0.020834522006466256,0.9255847247282862,0.9736464732551688,0.6400219066633072
config_008,2,UKCHLL031,100,10,50,all,0.09016885658372938,0.9125083508916183,0.9702518495186206,0.6576430189979895
config_008,2,UKCHLL037,100,10,50,all,0.03560721344929417,0.9126419634211768,0.9669714117656958,0.6384068628787222
config_008,3,UKCHLL009,100,10,50,all,0.15090258064264211,0.9193820917241421,0.9685191762362761,0.6796012828676868
config_008,3,UKCHLL039,100,10,50,all,0.09368795715026206,0.9388407594833365,0.9650185710716357,0.6658490959017448
config_008,3,UKCHLL043,100,10,50,all,0.21802670331421617,0.9045235303065245,0.9698312826650817,0.6974605054286075
config_008,3,UKCHLL046,100,10,50,all,0.07859616901590082,0.9374277084244782,0.9508589090877089,0.6556275955093626
config_008,4,UKCHLL015,100,10,50,all,0.5842548720956234,0.9231875974495164,0.9698815337346048,0.8257746677599149
config_008,4,UKCHLL034,100,10,50,all,0.7299347688280883,0.9374783907400329,0.9655078024219466,0.8776403206633558
config_008,4,UKCHLL038,100,10,50,all,0.6739740356775941,0.8973029504858452,0.9737023665727446,0.8483264509120613
config_008,4,UKCHLL048,100,10,50,all,0.42853490924948495,0.9236737977934287,0.9504356454679286,0.7675481175036141
config_008,5,UKCHLL021,100,10,50,all,0.09125534301635888,0.9336581656800143,0.9636562119868645,0.6628565735610792
config_008,5,UKCHLL023,100,10,50,all,0.07343341045587315,0.9185879781853062,0.2939084701733109,0.4286432862714968
config_008,5,UKCHLL035,100,10,50,all,0.0671143272309776,0.9264429768945832,0.9663412974434267,0.6532995338563291
config_008,5,UKCHLL041,100,10,50,all,0.1033418656172284,0.9430301565167145,0.9546171366049448,0.666996386246296
config_009,1,UKCHLL001,100,,1,sqrt,0.07530837404855364,0.9109531721193608,0.9725960268925373,0.6529525243534838
config_009,1,UKCHLL002,100,,1,sqrt,0.051619661983586036,0.9121902833594093,0.9612933411062198,0.6417010954830716
config_009,1,UKCHLL042,100,,1,sqrt,0.10312987180069322,0.892128224385753,0.9325955986536408,0.642617898280029
config_009,1,UKCHLL045,100,,1,sqrt,0.06603696059434218,0.8817680153139426,0.9626240346085535,0.6368096701722794
config_009,2,UKCHLL011,100,,1,sqrt,0.04722670040763636,0.9208981808625573,0.9566980187426244,0.641607633337606
config_009,2,UKCHLL017,100,,1,sqrt,0.04532450188786563,0.9109391920647562,0.9643145792689473,0.640192757740523
config_009,2,UKCHLL031,100,,1,sqrt,0.18428315002655993,0.91985035650207,0.9624942700903274,0.6888759255396524
config_009,2,UKCHLL037,100,,1,sqrt,0.07637845747042275,0.9016536324136456,0.9626454212140932,0.6468925036993872
config_009,3,UKCHLL009,100,,1,sqrt,0.18323484436945195,0.9119467803782901,0.9613612439068545,0.6855142895515322
config_009,3,UKCHLL039,100,,1,sqrt,0.11359238758426894,0.9205769605956267,0.9563026255027204,0.6634906578942054
config_009,3,UKCHLL043,100,,1,sqrt,0.24056068629458785,0.9021017892302887,0.96195739178293,0.7015399557692689
config_009,3,UKCHLL046,100,,1,sqrt,0.07707161083781179,0.8788980871097024,0.9223725062833253,0.6261140680769465
config_009,4,UKCHLL015,100,,1,sqrt,0.07769561778429253,0.9046481351438783,0.9637930272136043,0.6487122600472585
config_009,4,UKCHLL034,100,,1,sqrt,0.13317775597337506,0.9172768322054821,0.955301292898283,0.6685852936923801
config_009,4,UKCHLL038,100,,1,sqrt,0.09736633395233674,0.8790761704473229,0.964973194655429,0.6471385663516962
config_009,4,UKCHLL048,100,,1,sqrt,0.047011433066111566,0.8791582194904711,0.9391687630663473,0.62177947187431
config_009,5,UKCHLL021,100,,1,sqrt,0.11691253528408793,0.92166897389801,0.9510488075821399,0.6632101055880792
config_009,5,UKCHLL023,100,,1,sqrt,0.09531493572216612,0.8910959279248426,0.3497228709560089,0.4453779115343392
config_009,5,UKCHLL035,100,,1,sqrt,0.07788911685145462,0.9159107732761764,0.9600469426542249,0.651282277593952
